,Airport_name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,Attraction_html
960,Mimizan Airport,Mimizan,France,\N,LFCZ,44.145928000000005,-1.16432,164,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196512-Activities-Mimizan_Landes_Nouvelle_Aquitaine.html
961,Aire-sur-l'Adour Airport,Aire-sur-l'adour,France,\N,LFDA,43.70940017700195,-0.24527800083160398,259,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g1727247-Activities-Aire_sur_l_Adour_Landes_Nouvelle_Aquitaine.html
962,Montauban Airport,Montauban,France,\N,LFDB,44.02569961547852,1.3780399560928345,351,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187172-Activities-Montauban_Tarn_et_Garonne_Occitanie.html
963,Auch-Lamothe Airport,Auch,France,\N,LFDH,43.687801361083984,0.6016669869422913,411,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g551796-Activities-Auchterarder_Perth_and_Kinross_Scotland.html
964,Libourne-Artigues-de-Lussac Airport,Libourne,France,\N,LFDI,44.982498,-0.134722,157,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g651697-Activities-Libourne_Gironde_Nouvelle_Aquitaine.html
965,Pamiers-Les Pujols Airport,Pamiers,France,\N,LFDJ,43.090599060058594,1.69582998752594,1115,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g644113-Activities-Pamiers_Ariege_Occitanie.html
966,Marmande-Virazeil Airport,Marmande,France,\N,LFDM,44.4989013671875,0.2005140036344528,105,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196511-Activities-Marmande_Lot_et_Garonne_Nouvelle_Aquitaine.html
967,Rochefort-Saint-Agnant (BA 721) Airport,Rochefort,France,RCO,LFDN,45.88779830932617,-0.9830560088157654,60,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g1045444-Activities-Rochefort_The_Ardennes_Wallonia.html
968,Pontivy Airport,Pontivy,France,\N,LFED,48.05849838256836,-2.92182993888855,407,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g562712-Activities-Pontivy_Morbihan_Brittany.html
969,Aubigny-sur-Nère Airport,Aubigny-sur-nere,France,\N,LFEH,47.480556,2.394167,630,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g616095-Activities-Aubigny_sur_Nere_Cher_Berry_Centre_Val_de_Loire.html
970,Ancenis Airport,Ancenis,France,\N,LFFI,47.40810012817383,-1.1775000095367432,111,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g1051955-Activities-Ancenis_Loire_Atlantique_Pays_de_la_Loire.html
971,Brienne-le-Château Airport,Brienne-le Chateau,France,\N,LFFN,48.4297981262207,4.48222017288208,381,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g3663261-Activities-Brienne_le_Chateau_Aube_Grand_Est.html
972,Colmar-Houssen Airport,Colmar,France,CMR,LFGA,48.109901428222656,7.359010219573975,628,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187073-Activities-Colmar_Haut_Rhin_Grand_Est.html
